menu,bahan,langkah,hasil,kalori_kkal,lemak_g,karbohidrat_g,protein_g,serat_g,kolesterol_mg,gambar_url
telur dadar,lada putih bubuk canola oil sosis ayam egg cincang scallions or spring onions chives,masukkan kucai kedalam teflon yg diminyaki masak layu kocok sosis potong telur masukkan bumbu daun bawang tuangkan adonan telur kucai masak matang,1 porsi,246,19.17,7.0,11.04,1.4,212,https://m.ftscrt.com/static/recipe/4a6ed25b-6543-4346-ba67-b72823d626a5.jpg
nasi goreng mentega,margarine telur dadar telur orak arik mixed vegetables mangkok dimasak nasi putih siung bawang putih,tumis bawang putih cincang margarine masukkan sayur campur diikuti nasi tambahkan telur orak arik campur,2 porsi,344,14.91,41.13,8.15,0.5,106,https://m.ftscrt.com/static/recipe/c7d2d6c4-8f2b-411b-9494-2b202d7bffc0.jpg
smoothies berry,granola creations cinnamon raisin buah naga skimmed milk  mangga stroberi,masukkan bahan kecuali granola blend tuang mangkuk tambahkan granola,2 porsi,136,2.13,26.91,5.29,3.3,0,https://m.ftscrt.com/static/recipe/4dce64a2-1910-4c48-9862-4de8f2fb73e1.jpg
oseng sawi telur,sawi hijau telur siung bawang putih bawang merah,oseng bawang merah bawang putih masukkan sawi air tambahkan telur bumbui garam merica,1 porsi,113,5.15,9.54,7.87,1.6,212,https://m.ftscrt.com/static/recipe/485db2c7-a339-490b-bf52-18eb66a0229c.jpg
terong balado rebus,magic lezat terasi garam cabai merah rawit terung bawang merah siung bawang putih tempe air,haluskan bahan kecuali tempe terong tuang bumbu teflon tambahkan air tutup teflon rebus mendidih iris terong melingkar susun teflon rebusan cabai mendidih ditutup kambali detelah terong matang masukkan tempe masak matang air surut lupa koreksi,2 porsi,302,11.22,44.94,17.57,13.4,0,https://m.ftscrt.com/static/recipe/72ebc15e-d82f-4a5d-aea4-f76a5fc2ac21.jpg
shakshuka,jamur kancing bawang bombay telur siung bawang putih utuh tomat merah saus tomat,kupas kulit tomat cincang blender cincang bawang putih bawang bombay jamur champignon tumis bawang bombay bawang putih layu tambahkan jamur tumis jamur berubah warna masukkan pure tomat saos tomat air tambahkan garam lada bumbu pilihan tambahkan telur tutup pan telur matang makanan dihidangkan,1 porsi,283,11.0,31.06,18.65,6.3,423,https://m.ftscrt.com/static/recipe/fb98f709-9289-43bc-8dc8-4d043c9867d9.jpg
toast avocado,susu kental manis mentega palm sugar irisan reguler roti gandum panggang alpukat,panggang roti mentega keruk alpukat letakkan diatas roti taburi gula palm tuang susu kental manis,1 porsi,488,37.53,39.95,6.83,15.0,0,https://m.ftscrt.com/static/recipe/445eff56-9751-43aa-853f-4b774d8527e9.jpg
blueband biskuit lunak,tepung pati jagung palm sugar cake cookie tepung terigu kunci biru telur gula dark compound chocolate tepung terigu putih keperluan,kocok mentega gula tambahkan telur aduk tambahkan tepung diayak bahan campur bentuk biskuit sebarkan loyang panggang menit suhu c c,8 porsi,300,17.31,32.54,3.56,1.9,26,https://m.ftscrt.com/static/recipe/15f70bba-a2d1-4246-8192-60230f41c011.jpg
tumis pakcoy,bawang merah goreng lada putih bubuk royco ayam bawang putih bubuk cabai merah rawit pakcoy garam gelas air dikemas gula merah,masukkan bumbu air mendidih masukkan sayur masak menit sajikan wadah taburi bawang goreng,2 porsi,30,0.63,6.2,1.22,1.6,0,https://m.ftscrt.com/static/recipe/d3869313-994b-4cd0-a311-4240bf382cbb.jpg
setup roti gandum,sweetener diabtx kismis susu uht full cream roti gandum putih telur kacang almond panggang kering tambahan garam,campur putih telur gula kocok campurkan ml susu uht low fat aduk potong roti gandum sesuai selera masukan kedalam adonan basah aduk tuangkan adonan kedalam cetakan taburkan kismis sesuai selera tuangkan sisa adonan ratakan taburkan kismis kacang almond sesuai selera kukus menit adonan padat tusuk tusuk gigi test kepadatan,4 porsi,183,6.59,49.99,10.41,7.9,4,https://m.ftscrt.com/static/recipe/4ec0a828-9f7e-4dd6-a837-5936a699d996.jpg
omelet tuna,ikan tuna bayam dimasak segar telur,letakkan bayam teflon tutup teflon letakkan tuna diatas bayam tuangkan telur diatasnya tutup teflon balikkan selesai,1 porsi,126,6.37,2.22,14.74,1.1,226,https://m.ftscrt.com/static/recipe/3327f0c5-12b5-4148-ac4d-d59fa79f0461.jpg
oatmeal goreng dan omelet,sejumput garam laut minyak nabati sendok makan instant oatmeal mangkok kaldu jamur bawang merah bawang bombay telur dadar cabai merah rawit mentimun kulit siung bawang putih,sangrai oatmeal kecoklatan tumis bawang merah beang putih cabai bawang bombay layu harum tuang oatmeal yg sangrai air tambahkan garam kaldu jamur diaduk hidangkan toping telur mentimun,1 porsi,414,16.42,57.81,16.4,9.5,217,https://m.ftscrt.com/static/recipe/0044b34c-6982-4962-8c5b-28a025c3708e.jpg
mangkuk smoothie hijau,gourmet blend dark chocolate banana granola selada semangka apel alpukat blewah melon kacang almond,blender bahan kecuali kacang almond granola sajikan mangkok letakkan kacang granola topping,1 porsi,281,14.22,37.85,5.05,8.8,0,https://m.ftscrt.com/static/recipe/f94d9ad9-0df0-4f9c-8708-3e7ba9cab409.jpg
granola homemade,extra virgin olive oil tbsps honey havermout rolled oat kurma gula aren dry roasted unsalted peanuts,sangrai rolled oat kacang tanah kecoklatan masukkan bahan saus olive oil gula aren madu kurma campur sajikan susu yogurt,10 porsi,266,8.67,42.4,6.45,11.4,0,https://m.ftscrt.com/static/recipe/7d628f74-b368-4408-95ff-e3b473f3d9a8.jpg
yogurt dan chia bowl,blueberry yoghurt buah naga chia seed,potong dadu buah naga siram yoghurt taruh chia seed diatasnya,1 porsi,620,32.13,69.11,20.4,39.4,3,https://m.ftscrt.com/static/recipe/c01e4fef-38da-4ae1-994e-fabf316570bc.jpg
papaya yogurt with almonds,yogurt plain mangkok potong dadu pepaya madu kacang almond,potong pepaya ukuran sisihkan cincang almond ukuran masukkan yogurt mangkok tambahkan pepaya almond dipotong tambahkan madu manis,1 porsi,210,3.17,42.68,5.52,5.8,3,https://m.ftscrt.com/static/recipe/c4d6d5a1-748e-410b-be66-108c90421d6d.jpg
bubur manis oat,sejumput garam laut sweetener fiber creme oat gula aren chia seed gelas air,masukan bahan wajan tambahkan daun pandan wangi aduk bubur mengental bubur ajukan tambahkan sejumput chia seed hiasan,1 porsi,187,4.34,34.09,3.18,5.7,0,https://m.ftscrt.com/static/recipe/71d70958-30fd-4f82-8517-b764b62523a6.jpg
pancake naga,sendok makan instant oatmeal susu telur buah naga,blender bahan panggang teflon angkat kasih toping naga,1 porsi,334,9.35,48.64,17.07,4.7,217,https://m.ftscrt.com/static/recipe/396bedc0-9fe1-4f59-8c6c-eb12bfb74a26.jpg
tumis sawi putih,royco ayam kecap manis minyak goreng telur tomat ceri bawang bombay cabai merah rawit garam siung bawang putih gula pasir sawi putih,potong potong sawi putih cuci bersih iris tipis bawang putih bawang bombay iris serong cabai merah iris tomat panaskan minyak tumis bawang putih bawang bombay harum masukkan telur orak arik tambahkan ml air mendidih tambahkan kol cabai tomat aduk tambahkan gula garam kecap royco koreksi tunggu matang,1 porsi,263,15.78,22.48,10.08,1.7,212,https://m.ftscrt.com/static/recipe/4e52a80a-d7e5-4054-923a-632ded6781d3.jpg
sayur tumis sawi telur,sendok makan minyak goreng telur cabai merah rawit wortel siung bawang putih bawang merah utuh tomat merah sawi putih,iris bawang cabai tomat sawi wortel panaskan minyak tumis bawang cabai masukkan wortel tomat tumis empuk tambahkan bumbu sesuai selera masukkan sawi tambahkan air masak matang,2 porsi,130,7.25,13.25,4.67,2.6,93,https://m.ftscrt.com/static/recipe/20879525-7f81-4dca-a03c-faea7e32fe74.jpg
bubur oat,oatmeal sawi hijau dada ayam bawang bombay dimasak wortel,tumis bawang bombay harum minyak kelapa harum masukan air masukkan ayam sawi dn wortel topping layu masukkan oat nya menit air diatas habis ditambah metebus oatnya ya tambahkan garam koreksi,1 porsi,413,14.16,38.0,35.49,5.6,83,https://m.ftscrt.com/static/recipe/912d5461-26e4-451c-961c-d03233c84e77.jpg
yellow smoothies,mangga buah pir mentimun kulit air,masukkan bahan blender tambahkan air blender bahan halus disajikan,2 porsi,80,0.26,21.01,0.7,3.3,0,https://m.ftscrt.com/static/recipe/745c540c-2619-4fff-889f-34ae372a24f2.jpg
telur kukus,daging sapi putih telur buncis wortel daun bawang,iris cincang wortel daun bawang buncis sisihkan kocok putih telur pengocok telur berbusa masukan wortel daun bawang buncis diiris cincang daging sapi dipotong kocokan putih telur tambahkan garam merica penyedap aduk masukan adonan wadah anti panas kukus menit menit angkat tiriskan,1 porsi,230,12.5,5.56,22.64,1.4,55,https://m.ftscrt.com/static/recipe/ab76b9f0-1096-4ab8-bfca-bb33563b69e5.jpg
bubur oatmeal asin,royco ayam lada putih bubuk instant oatmeal grain irisan tipis ayam telur rebus sosis ayam mangkok jamur dimasak lemak masakan garam seledri cincang daun bawang loncang,nyalakan kompor masukkan oatmeal teflon tambahkan air panas aduk encer tambahkan garam lada daun bawang penyedap aduk hias bubur topping koreksi pas tuang mangkuk tambahkan air diaduk tekstur bubur selamat menikmati,1 porsi,223,7.99,27.49,12.26,4.2,118,https://m.ftscrt.com/static/recipe/a01980be-616d-4107-a203-a94d7b2cf85a.jpg
mini pancakes,oats buah kiwi telur madu pisang biji wijen kering utuh,blender oat pisang telur bp halus panggang adonan pakai sendok teh teflon anti lengket minyak margarin api adonan timbul gelembung pancake sajikan toping madu wijen buah,1 porsi,353,8.04,62.77,10.92,4.3,186,https://m.ftscrt.com/static/recipe/123ed72d-c496-4fe0-9c0e-26a9a2b8287b.jpg
manggo sticky oats,tsp sugar tepung pati jagung fiber creme quick cook oatmeal sejumput salt mango water water,kupas mangga tata kedalam piring masak oats ml air tambahkan garam masak air menyusut taruh kedalam piring saus memanaskan ml air tambahkan sdt fibercrem aduk merata tambahkan garam sdt gula aduk tambahkan sdm tepung maizena aduk hingha mengental siramkan diatas mangga oats tata selesai,1 porsi,262,8.26,48.62,2.82,9.4,0,https://m.ftscrt.com/static/recipe/fcabcad6-816b-4806-9a6f-e6279895a49d.jpg
sup sehat,lada putih bubuk kaldu jamur telur puyuh buncis brokoli sosis ayam siung bawang putih wortel daun bawang jamur putih ditumis,potong bahan sesuai selera rebus telur puyuh kupas rebus ml air geprek bawang putih masukkan k air mendidih masukkan wortel buncis brokoli air biarkan lunak masukkan sosis jamur telur puyuh bumbui kaldu jamur lada putih koreksi d tambahkan gula garam dll sesuai kalori d tambahkn modifikasi tambahkan irisan bawang daun pakai putih d hidangkan,10 porsi,56,2.92,3.0,4.53,0.8,159,https://m.ftscrt.com/static/recipe/87288cd6-59e7-4c3a-895c-1c5ee5472a27.jpg
