menu,bahan,langkah,hasil,kalori_kkal,lemak_g,karbohidrat_g,protein_g,serat_g,kolesterol_mg,gambar_url
Goreng Labu dengan Jagung,"['1. 1 sdm minyak zaitun extra virgin', '2. 1 besar telur', '3. 100 g tepung terigu', '4. 1 gelas jagung', '5. 1 sdt bawang putih bubuk', '6. 1 sdt, tumbuk oregano', '7. 1 sejumput lada hitam', '8. 100 gram labu']","['1. Potong dadu labu, rebus dengan air hingga empuk, tiriskan.', '2. Campur dalam blender dengan bahan lain, kecuali tepung dan minyak.', '3. Masukkan tepung dan aduk hingga rata.', '4. Masak dalam wajan dengan minyak sampai berwarna keemasan dan kencang.']",6 porsi,121,3.93,19.07,3.82,1,35,https://m.ftscrt.com/static/recipe/9de0f46b-8a8b-4637-ab55-97cee741b46a.jpg
Roti Pisang dan Keju,"['1. 30 g keju quick leleh', '2. 1 lembar roti tawar gandum', '3. 100 g pisang']","['1. Iris pisang dan parut keju.', '2. Susun di atas roti.', '3. Masak dalam penggorengan udara pada suhu 190Â°C selama 5 menit.']",1 porsi,280,8.75,41.5,9.0,4,0,https://m.ftscrt.com/static/recipe/afe8e6f9-9bbd-4e95-98e5-e66c7761b311.jpg
Pancake Protein Oat,"['1. 2 ml pemanis', '2. 3 g bubuk pengembang', '3. 35 g oat gulung biasa', '4. 1 sendok air dadih coklat', '5. 1 besar telur', '6. 1/2 gelas air']","['1. Giling oat hingga menjadi bubuk lalu campurkan dengan bahan kering lainnya.', '2. Campur semuanya sampai halus.', '3. Masak dalam wajan antilengket sampai keras di kedua sisi.']",4 porsi,87,1.62,8.31,8.57,2.8,68,https://m.ftscrt.com/static/recipe/f9126ab1-2d0c-43f3-b3bc-b71791eae36e.jpg
Brownies Oatmeal,"['1. 4 g baking powder', '2. 9 g cocoa powder', '3. 1 sdm minyak goreng', '4. 44 g instant oatmeal', '5. 58 ml susu uht kids cokelat', '6. 1 sedang telur', '7. 2 kecil pisang', '8. 1/2 sdt baking soda', '9. 4 sdt gula pasir']","['1. Giling oatmeal dalam blender. Menyisihkan.', '2. Tumbuk pisang.', '3. Campurkan semua bahan dengan baik.', '4. Masukkan adunan ke dalam acuan dan kukus selama 15 minit.', '5. Biarkan ia sejuk, buang acuan dan potong.']",4 porsi,165,5.4,26.59,4.41,3.4,47,https://m.ftscrt.com/static/recipe/6294e676-78fc-40fb-a3d0-91c0fa26b239.jpg
Bihun dengan Sayuran,"['1. 55 g bihun rasa ayam bawang', '2. 60 gram carrots', '3. 60 gram broccoli (with salt, drained, cooked, boiled)']","['1. Masak mie sesuai petunjuk kemasan.', '2. Rebus sayuran selama 5 menit.', '3. Campur mie dan sayuran, bumbui sesuai keinginan, dan sajikan.']",1 porsi,242,3.85,47.79,4.35,3.7,0,https://m.ftscrt.com/static/recipe/60ce6f52-6fd4-4057-941c-b96adbcfd67c.jpg
Smoothie Buah Naga dan Pisang,"['1. 20 g cinnamon & raisin', '2. 70 g squeeze yogurt peach', '3. 130 ml yakult', '4. 2 sedang pisang', '5. 1 mangkok buah naga']","['1. Potong pisang dan buah naga.', '2. Masukkan kesemuanya ke dalam pengisar dan kisar sehingga sebati.', '3. Tempatkan dalam mangkuk dan hiasi dengan granola dan buah sesuai keinginan. Nikmati sarapan Anda.']",2 porsi,280,3.48,60.41,4.98,5.6,0,https://m.ftscrt.com/static/recipe/628f21a7-c977-4b09-aee5-c6e8d32b6feb.jpg
Bolu Oatmeal Pisang Cokelat,"['1. 2.5 g baking powder', '2. 5 g coconut sugar', '3. 10 g cocoa powder', '4. 150 g whole rolled oats', '5. 50 g choco chips', '6. 50 gram egg', '7. 375 gram banana']","['1. Haluskan pisang.', '2. Campur semua bahan.', '3. Panggang selama 30 menit pada suhu 170Â°C.', '4. Hasilnya jadi 2 loyang bisa dibagi 12 potong.']",12 porsi,106,2.83,18.69,2.96,2.9,18,https://m.ftscrt.com/static/recipe/ea6ede7e-e208-4388-96c6-e063e8676ae8.jpg
Oat Panekuk,"['1. 1/4 cangkir instant oatmeal', '2. 1 besar telur', '3. 80 ml chocolate drink']","['1. Haluskan oatmeal hinggah tekstur menjadi tepung.', '2. Tambahkan sebutir telur dan aduk rata.', '3. Tambahkan chocolatos dan aduk.', '4. Masak di atas pan anti lengket hingga matang kedua sisinya.']",5 porsi,54,1.87,7.1,2.44,0.6,42,https://m.ftscrt.com/static/recipe/171ebe49-d320-4eb6-9730-1619d3a136f6.jpg
Tumis Brokoli,"['1. 1 sejumput garam laut', '2. 2.5 g kaldu jamur', '3. 3 siung bawang putih', '4. 250 gram brokoli', '5. 160 gram wortel', '6. 2 kecil bawang merah', '7. 1/2 sdt gula pasir']","['1. Rebus wortel dan brokoli, tujuannya supaya empuk dan matang merata ketika ditumis.', '2. Tumis bawang merah dan bawang putih yang sudah dicincang pada teflon anti lengket tanpa menggunakan minyak masak.', '3. Setelah bumbu matang, masukkan wortel dan brokoli yang sudah direbus, aduk merata sambil ditambahkan gula, garam dan kaldu jamur.', '4. Tumis brokoli siap disajikan.']",3 porsi,79,0.52,17.22,3.49,4.4,0,https://m.ftscrt.com/static/recipe/2db32a6d-972a-426b-96b5-d7359424ed12.jpg
Omlete Tahu Telur,"['1. 1 sendok makan minyak goreng sawit', '2. 1 besar telur', '3. 1 sdt garam', '4. 100 gram tahu']","['1. Hancurkan tahu dalam mangkuk.', '2. Kocok telur, campur dengan tahu dan bumbui dengan garam.', '3. Masukkan minyak ke dalam wajan.', '4. Goreng hingga matang.']",1 porsi,232,18.92,2.48,14.26,0.3,212,https://m.ftscrt.com/static/recipe/ee89885c-8bf7-440a-872e-b47c2063843f.jpg
Muesli Simple,"['1. 50 g muesli dried fruit', '2. 100 ml susu (susu murni)', '3. 2 gram chia seed']","['1. Masukan susu dan muesli kedalam mangkok.', '2. Lalu masukan ke kulkas diamkan semalaman.', '3. Siap disantap pada pagi hari lalu taburi chia seed diatasnya.', '4. Bisa ditambahkan dengan buah buahan (opsional).']",1 porsi,255,7.3,42.21,6.96,5.8,10,https://m.ftscrt.com/static/recipe/4459fd35-19db-4855-b723-894f553ec259.jpg
Jus Bokcoy,"['1. 3 sdt sugar', '2. 1/2 fresh lime juice', '3. 3 slices pineapple (extra sweet)', '4. 3 daun chinese cabbage (bok-choy, pak-choi)', '5. 700 ml water']","['1. Cuci buah dan sayur.', '2. Rendam bokcoy dalam air panas, sebentar saja.', '3. Blender semua bahan.']",2 porsi,94,0.19,24.57,1.03,2,0,https://m.ftscrt.com/static/recipe/2779ccea-2b1f-4f8a-b913-954c1f3a8985.jpg
Jus,"['1. 1/4 iris lime', '2. 1 sachet sweetener classic', '3. 6 sedang strawberries', '4. 1 medium carrots', '5. 1 kecil utuh tomatoes', '6. 1.2 l air']","['1. Cuci dan potong buah dan sayur.', '2. Masukkan ke blender, campurkan dengan air dan pemanis, tambahkan air jeruk nipis.', '3. Blender hingga halus.']",2 porsi,35,0.28,8.58,0.93,2.2,0,https://m.ftscrt.com/static/recipe/63392a2e-5241-45c8-a874-22d0d4d3cd25.jpg
Healthy Banana Oat Muffin,"['1. 2 g baking powder', '2. 2 g kopi bubuk', '3. 157 g banana', '4. 15 g cocoa powder', '5. 18 g coconut sugar', '6. 57 gram telur', '7. 2100 g squeeze yoghurt', '8. 1 gram garam', '9. 2 gram baking soda', '10. 75 gram oat']","['1. Blender oats sampai jadi halus atau merupai tepung. Bisa pakai tepung lain.', '2. Campur tepung oats, cocoa powder, baking soda, baking powder, kopi instan, gula dan garam.', '3. Haluskan pisang lalu campurkan dengan telur dan yogurt.', '4. Campur adonan basah dengan adonan kering.', '5. Masukan adonan muffin ke cup/loyang yang sudah anda sediakan.', '6. Tambahkan topping pilihan anda sesuai selera.', '7. Panggang di oven 180Â°C sekitar 20 - 25 menit.', '8. Angkat dan dinginkan.']",6 porsi,459,12.23,78.65,14.1,3.1,40,https://m.ftscrt.com/static/recipe/fb5ddb0d-341b-423d-9692-269d29b3153c.jpg
Tahu Telur,"['1. 1 siung bawang putih dimasak', '2. 2 gram bawang merah', '3. 2 ml minyak goreng', '4. 1 besar telur', '5. 1 sdt garam', '6. 100 gram tahu', '7. 10 gram bayam']","['1. Hancurkan tahu.', '2. Iris kecil-kecil bayam.', '3. Campur tahu, bayam dengan telur.', '4. Haluskan bawang merah dan bawang putih beserta garam.', '5. Tumis bumbu halus.', '6. Masukkan adonan tahu dan masak hingga matang.']",1 porsi,203,14.97,3.7,14.7,0.5,212,https://m.ftscrt.com/static/recipe/26b7f833-1306-4400-aa9e-073c82593a0e.jpg
Chia Seed Yakult,"['1. 10 gram buah naga', '2. 2 botol yakult', '3. 10 gram chia seed']","['1. Campurkan chia seed dengan Yakult.', '2. Diamkan selama 5-10 menit di lemari es.', '3. Tambahkan potongan buah naga.']",1 porsi,154,3.12,27.62,3.64,4,0,https://m.ftscrt.com/static/recipe/ff24feff-7337-4da6-b94e-11b89d03f5f1.jpg
Oat Cookies,"['1. 4 kurma', '2. 62 g oatmeal', '3. 1 sdt ekstrak vanila', '4. 2 kecil pisang', '5. 20 gram keju cheddar']","['1. Kupas buah pisang masukan dalam mangkok hancurkan hingga halus.', '2. Potong kurma dan parut keju masukan dalam mangkuk hancuran pisang tadi tambahkan vanilla paste. Tambahkan oatmeal.', '3. Campur adonan hingga merata cetak adonan pada loyang lalu panggang adoan di oven suhu 180Â°C selama kurleb 15 menitan.']",17 porsi,24,0.51,4.66,0.54,0.5,1,https://m.ftscrt.com/static/recipe/5dc5dc35-308a-46a9-a3e7-1e130b98e87b.jpg
Healthy Oatmeal Bar,"['1. 20 g choco chips', '2. 60 g creamy peanut butter', '3. 135 g instant oatmeal', '4. 150 g banana', '5. 1 sdt ekstrak vanila']","['1. Hancurkan pisang dengan garpu sampai lembut.', '2. Tuang bahan lain kecuali chocochips, aduk sampai rata.', '3. Masukkan choco chips, aduk lagi sampai rata.', '4. Tuang ke loyang yg sudah di alas baking paper. Panggang api bawah 180Â° kurang lebih 15-20 menit.']",12 porsi,94,3.51,13.67,2.84,2,0,https://m.ftscrt.com/static/recipe/6b13981a-a595-4373-81c2-4e373439614e.jpg
Smoothie Buah Naga,"['1. 8 g chia seed', '2. 15 g oatmeal', '3. 30 g pisang single', '4. 50 ml almond breeze almond milk original', '5. 20 gram nanas', '6. 30 gram buah naga', '7. 4 gram kacang almond panggang kering (tanpa tambahan garam)']","['1. Bekukan semua buah buahan.', '2. Blender dengan susu dan oatmeal.', '3. Taburi dengan topping yang disukai seperti chia, almond, dll. dan sajikan.']",1 porsi,138,5.5,20.28,3.43,5.1,0,https://m.ftscrt.com/static/recipe/d83418c1-ac84-42fa-a9a6-fc4b77004761.jpg
Pancake Pisang,"['1. 80 ml susu skim', '2. 140 gram pisang', '3. 1/2 sdt gula pasir', '4. 50 gram tepung terigu putih (semua keperluan)']","['1. Haluskan pisang, lalu campur dengan terigu. Aduk rata.', '2. Tambahkan gula dan susu secara bertahap sambil diaduk hingga rata.', '3. Panaskan wajan antilengket, tuang satu sendok sayur adonan.', '4. Apabila sudah muncul gelembung, balik adonan pancake. Tunggu hingga kedua sisi matang.', '5. Sajikan hangat, boleh ditambah madu atau topping sesuai selera.']",7 porsi,51,0.33,10.89,1.35,0.7,1,https://m.ftscrt.com/static/recipe/8f394150-c0ef-468d-bd73-675792cdc67b.jpg
Bolognese Wrap,"['1. 3 g lada putih bubuk', '2. 2 siung bawang putih dimasak', '3. 15 g saus sambal', '4. 1 sdm saos tiram', '5. 3 gandum tortilla', '6. 100 gram daging sapi giling', '7. 200 gram wortel dimasak', '8. 200 gram mentimun (kupas)']","['1. Kupas timun dan wortel lalu iris memanjang. Rebus wortel dalam air yang mendidih selama 1 menit (jangan terlalu layu).', '2. Cincang 2 siung bawang putih. Tumis hingga harum kemudian masukkan daging cincang, tambahkan saus tiram, saus sambal, garam, lada. Masak hingga daging matang.', '3. Letakkan daging cincang, wortel dan timun, susun memanjang diatas tortilla kemudian gulung.', '4. Panggang tortilla hingga berwarna kecoklatan. Siap disajikan.']",3 porsi,242,8.41,29.08,12.78,4.9,29,https://m.ftscrt.com/static/recipe/c0d5ca6f-855d-4bbd-b294-8b17ead6e54d.jpg
Bungkus Salad Ayam,"['1. 5 g kaldu jamur', '2. 1 sedang tortilla', '3. 1 sdm mayones', '4. 100 gram dada ayam', '5. 50 gram selada', '6. 30 gram wortel']","['1. Bumbui ayam dengan kaldu jamur lalu panggang di wajan tanpa minyak.', '2. Atur semuanya di atas tortilla dan gulung.', '3. Panaskan bungkus dalam wajan antilengket selama 2-3 menit.']",1 porsi,382,15.03,27.1,33.22,3.2,87,https://m.ftscrt.com/static/recipe/32852371-32f7-4ed8-8a3d-84ab80b5098e.jpg
Steam Tofu Udang,"['1. 3 g kaldu jamur', '2. 1 sdt garam laut', '3. 140 g egg tofu', '4. 9 ml saus rasa tiram', '5. 2 sedang telur', '6. 125 gram udang', '7. 2 siung bawang putih', '8. 2 gram minyak wijen']","['1. Tumis bawang putih cincang pakai minyak wijen.', '2. Masukan udang hingga berubah warna.', '3. Tambahkan air secukupnya untuk membuat sup.', '4. Masukkan tofu hingga semua matang.', '5. Masukan garam saus tiram kaldu jamur.', '6. Masukan Kocokan telur aduk hingga berserabut. Tambahkan daun bawang (opsional).']",6 porsi,77,3.95,2.04,8.84,0,105,https://m.ftscrt.com/static/recipe/67e6f98e-1c4c-44aa-a2b8-1791e821a1cd.jpg
Tuna Bruschetta,"['1. 3 g lada putih bubuk', '2. 5 g kaldu jamur', '3. 30 g corn kernel', '4. 40 ml squeeze yogurt original', '5. 15 g mozzarella & cheddar', '6. 55 gram tuna dalam air (kalengan)', '7. 3 irisan reguler roti multigrain']","['1. Campurkan tuna, yoghurt, kernel, kaldu jamur dan merica.', '2. Oleskan adonan tuna di atas roti multigrain.', '3. Letakkan potongan keju diatasnya.', '4. Panggang dengan airfryer selama 15 menit.']",3 porsi,129,2.7,17.41,8.67,1.7,6,https://m.ftscrt.com/static/recipe/bc6eee28-91a3-4f64-86c3-79ad19165612.jpg
Oatmeal Goreng,"['1. 1 sdm minyak goreng', '2. 35 g instant oatmeal', '3. 1 besar telur', '4. 2 siung bawang putih', '5. 3 gram cabai merah atau rawit', '6. 3 kecil bawang merah', '7. 1 sedang wortel bayi', '8. 10 gram selada air']","['1. Panaskan frypan, masukan minyak lalu tumis bawang merah, bawang putih, sama cabe.', '2. Setelah layu masukan telur tumis sampai mateng.', '3. Masukan wortel tumis sampai layu.', '4. Setelah layu masukkan oatmeal aduk sampai tercampur, tambahkan air sedikit agar dy bisa tercampur.', '5. Tambahkan selada air atau sayuran pilihan lainnya.']",1 porsi,416,19.21,50.24,14.25,7,212,https://m.ftscrt.com/static/recipe/078b5fa4-cae2-45e1-8d65-d9e4fbba6dc3.jpg
Bubur Ayam Merah,"['1. 2 sdt fiber creme', '2. 30 gram dada ayam rebus (kulit tidak dimakan)', '3. 1 kecil telur', '4. 1 gelas kaldu ayam', '5. 100 gram nasi merah', '6. 10 gram daun bawang', '7. 1 sdt gula pasir', '8. 10 gram kacang sangrai kering (dengan garam)']","['1. Membuat telur dadar. Gulung dan potong. Sisihkan untuk digunakan nanti.', '2. Rebus dada ayam bersama bawang putih, daun salam dan garam secukupnya hingga matang. Tiriskan lalu suwir-suwir dagingnya.', '3. Hancurkan beras merah dan rebus dengan kaldu ayam, tambahkan serat creme, gula dan garam secukupnya.', '4. Tuang bubur ke dalam mangkuk. Tambahkan ayam suwir, kacang tanah sangrai, irisan telur dadar untuk topping dan taburi daun bawang.']",1 porsi,331,12.76,36.34,19.3,4.8,180,https://m.ftscrt.com/static/recipe/a3fa8a88-e8bd-4da7-9e36-7277ae409024.jpg
Sup Telur Pedas,"['1. 1 gram kaldu jamur', '2. 5 sdm minyak goreng', '3. 2 besar telur rebus', '4. 3 sdm cabai merah atau rawit', '5. 2 kecil bawang merah', '6. 100 gram sawi hijau', '7. 1 sdt garam', '8. 1 siung bawang putih', '9. 2 gelas air', '10. 100 gram brokoli']","['1. Haluskan cabe dan bawang merah, bawang putih lalu tumis dengan minyak goreng.', '2. Lalu masukkan air, tunggu mendidih dan masukkan telur agar matang, serta garam dan kaldu jamur.', '3. Saat telur sudah matang, masukkan sayuran dan tunggu hingga matang sesuai selera.']",2 porsi,383,32.01,17.05,10.13,5,211,https://m.ftscrt.com/static/recipe/aaf9410c-2cf7-4530-ba5f-c9a7dc34129c.jpg
Bubur Ayam Oatmeal,"['1. 2 g royco ayam', '2. 3 ml kecap manis', '3. 30 g instant oatmeal', '4. 30 g sayur toge', '5. 1 sedang telur rebus', '6. 50 gram dada ayam rebus (kulit tidak dimakan)', '7. 1 sejumput lada hitam', '8. 1 sejumput garam']","['1. Rebus dada ayam di wajan sampai matang. Setelah selesai, tiriskan dan simpan sisa airnya untuk digunakan nanti. Sisihkan ayam rebus.', '2. Masukkam oatmeal kedalam wajan yg berisi air sisa rebusan ayam tadi dan aduk terus.', '3. Tambahkan toge, lalu aduk kembali. Tambahkan merica, garam dan penyedap rasa.', '4. Jika sudah matang, angkat dan masukkan ke dalam mangkuk.', '5. Suwir-suwir ayam yang sudah dimasak dan taruh di mangkuk sebagai topping dengan telur rebus.']",1 porsi,310,9.15,24.33,34.37,2.6,224,https://m.ftscrt.com/static/recipe/458178e5-70b7-4b63-ad16-a0dfc280efe3.jpg
Bakwan Sayur Teflon,"['1. 1 sdm extra virgin olive oil', '2. 30 gram kecambah', '3. 40 g tepung bakwan', '4. 22 gram wortel', '5. 3 gram seledri', '6. 7 gram daun bawang', '7. 55 ml air']","['1. Potong2 wortel, seledri n daun bawang.', '2. Masukan kecambah, wortel, air dan tepung bakwan. Aduk rata dan bumbui dengan garam dan merica.', '3. Beri teflon minyak zaitun. Panaskan minyak (jangan sampai terlalu panas).', '4. Goreng hingga matang.']",1 porsi,216,6.72,34.6,4.4,1.4,0,https://m.ftscrt.com/static/recipe/4ff4bdff-e88a-4227-a320-5ca04e4e25d2.jpg
Green Smoothie,"['1. 10 g pisang single', '2. 15 g chia seed', '3. 35 g oat', '4. 50 gram celery']","['1. Cuci bersih dab siapkan bahan.', '2. Blend jadi satu.', '3. Serving tabur chia seed.']",1 porsi,229,7.58,33.68,6.94,10,0,https://m.ftscrt.com/static/recipe/1e98265c-fb97-43e5-851a-42575e466f91.jpg
Omlet Bayam,"['1. 2 g royco ayam', '2. 5 g margarin', '3. 3 sedang telur', '4. 1 siung bawang putih', '5. 3 gram cabai merah atau rawit', '6. 2 kecil bawang merah', '7. 1 ikat bayam']","['1. Pecahkan telur, masukan cincang bawang merah, bawang putih, cabai. Kocok.', '2. Setelah tercampur masukan royco secukupnya.', '3. Lalu masukan bayam yang sudah di ambil bagian daun nya saja.', '4. Siapkan pan anti lengket, masukan margarin sedikit saja.', '5. Masukan adonan omlet bayam, lalu masak hingga matang.', '6. Bolak balik adonan dan pastikan semua matang merata.', '7. Setelah yakin sudah matang, angkat dan sajikan.']",4 porsi,95,4.81,7.55,7.04,2.6,140,https://m.ftscrt.com/static/recipe/d8d89660-924a-4b6b-bb89-eacbe9a22367.jpg
Pokcoy Kuah Pedas,"['1. 1 sejumput garam laut', '2. 1 g lada putih bubuk', '3. 1 sdm kecap manis', '4. 15 g saus sambal', '5. 1 g royco ayam', '6. 5 ml minyak kelapa', '7. 1 besar telur', '8. 1/2 sdt minyak wijen', '9. 100 gram dada ayam', '10. 10 gram cabai merah atau rawit', '11. 2 kecil bawang merah', '12. 100 gram pakcoy', '13. 50 gram jamur kancing', '14. 150 gram tahu susu', '15. 2 siung bawang putih', '16. 1/2 gelas air', '17. 1/2 sdt gula pasir']","['1. Rebus air dan sedikit garam, masukan pakcoy, tisirkan, tata dipiring.', '2. Tumis bawang putih dan bawang merah dengan minyak kelapa sampai sedikit layu. Masukkan butir telur ayam biarkan matang, dibalik baru di orak arik, masukkan cabai, tumis sampai harum.', '3. Masukkan ayam dan jamur kancing sampai ayam matang (berubah warna). Tambahkan garam, lada, royco, dan gula pasir.', '4. Masukkan saus sambal, kecap manis, minyak wijen, aduk sampai rata, tambahkan air sesuai selera kemudian test rasa.', '5. Terakhir masukkan tahu sebentar tidak usah diaduk-aduk, tunggu sampai air sedikit berkurang. Matikan api kompor, siram diatas pokcoy.']",2 porsi,348,14.18,26.23,29.26,3,158,https://m.ftscrt.com/static/recipe/a967d6c7-3549-48b3-a1ff-fbf326778bfd.jpg
Bayam Tumis Tahu,"['1. 2 g royco ayam', '2. 5 gram udang rebon', '3. 1 sdm minyak goreng', '4. 1 sdm saos tiram', '5. 1 besar telur', '6. 230 gram tahu', '7. 150 gram bayam']","['1. Tumis udang, lalu masukkan telur dan di orak-arik dengan minyak goreng.', '2. Tambahkan tahu yg sudah di hancurkan.', '3. Sesudah wangi, masukkan bayam lalu tambahkan saos tiram dan royco.', '4. Tunggu hingga bayam benar-benar matang.', '5. Siap di hidangkan.']",1 porsi,397,27.12,11.82,31.87,4,213,https://m.ftscrt.com/static/recipe/5ba3aa97-6cb6-48c3-8f21-d804d4380e40.jpg
